# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3500, i.e. number of multipoles equal to 3499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   94       3.382451943795e-10       9.188910617382e-14      -2.585827128508e-12       0.000000000000e+00       1.180169536576e-11       1.629498347977e-12      -7.368505003461e-15 
   95       3.422862629505e-10       9.396051769779e-14      -2.673371056735e-12       0.000000000000e+00       1.148515986295e-11       1.594687770992e-12      -7.294317021669e-15 
   96       3.463537680805e-10       9.602238703091e-14      -2.761368136174e-12       0.000000000000e+00       1.117947270643e-11       1.560960512496e-12      -7.223375332949e-15 
   97       3.504490976405e-10       9.807280512702e-14      -2.849742981324e-12       0.000000000000e+00       1.088420276329e-11       1.528275885013e-12      -7.156313595664e-15 
   98       3.545744962477e-10       1.001098614774e-13      -2.938423422008e-12       0.000000000000e+00       1.059889284101e-11       1.496588409635e-12      -7.092794111174e-15 
   99       3.587294147718e-10       1.021316234080e-13      -3.027354416437e-12       0.000000000000e+00       1.032315304972e-11       1.465853199996e-12      -7.030883895281e-15 
  100       3.629124351297e-10       1.041361368947e-13      -3.116479572581e-12       0.000000000000e+00       1.005657071538e-11       1.436029937242e-12      -6.969029912251e-15 
  101       3.671220836889e-10       1.061214347803e-13      -3.205718003712e-12       0.000000000000e+00       9.798793155040e-12       1.407122545078e-12      -6.909439607180e-15 
  102       3.713571347873e-10       1.080855485750e-13      -3.294985916366e-12       0.000000000000e+00       9.549447467878e-12       1.379125020744e-12      -6.853816803498e-15 
  103       3.756179691668e-10       1.100265653108e-13      -3.384219420349e-12       0.000000000000e+00       9.308212576596e-12       1.351955956737e-12      -6.797208970524e-15 
  104       3.799050661444e-10       1.119425799518e-13      -3.473358517526e-12       0.000000000000e+00       9.074750160587e-12       1.325517120808e-12      -6.733704066611e-15 
  105       3.842176856732e-10       1.138316866109e-13      -3.562338040287e-12       0.000000000000e+00       8.848772030582e-12       1.299752982200e-12      -6.661724252779e-15 
  106       3.885547399223e-10       1.156919806208e-13      -3.651089410826e-12       0.000000000000e+00       8.629973860051e-12       1.274636129201e-12      -6.582819580349e-15 
  107       3.929154062808e-10       1.175215838810e-13      -3.739536673134e-12       0.000000000000e+00       8.418087001658e-12       1.250229112628e-12      -6.506884486480e-15 
  108       3.972988962220e-10       1.193186321102e-13      -3.827601847102e-12       0.000000000000e+00       8.212828582117e-12       1.226587178433e-12      -6.442732129480e-15 
  109       4.017045899805e-10       1.210812989507e-13      -3.915209140786e-12       0.000000000000e+00       8.013958817920e-12       1.203636083481e-12      -6.383827911042e-15 
  110       4.061318305395e-10       1.228077761816e-13      -4.002283064802e-12       0.000000000000e+00       7.821226986417e-12       1.181275207842e-12      -6.321086317261e-15 
  111       4.105798865527e-10       1.244962863191e-13      -4.088748833628e-12       0.000000000000e+00       7.634414410376e-12       1.159461156052e-12      -6.253061430525e-15 
