# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   81       2.888270479872e-10       6.520538934090e-14      -1.516450671913e-12       2.856253172316e-16       1.716470670648e-11       2.204805190600e-12      -8.273957334876e-15 
   82       2.924656616299e-10       6.723596407648e-14      -1.592659860394e-12       2.927410729730e-16       1.665188470054e-11       2.150579201395e-12      -8.179057490145e-15 
   83       2.961368205936e-10       6.928060436235e-14      -1.670067547492e-12       2.999457609117e-16       1.615879448230e-11       2.098329411182e-12      -8.082628589018e-15 
   84       2.998352843582e-10       7.133764275397e-14      -1.748611443802e-12       3.072396267635e-16       1.568443818235e-11       2.047996046502e-12      -7.998204815454e-15 
   85       3.035651074843e-10       7.340544076115e-14      -1.828252593857e-12       3.146229353398e-16       1.522799373776e-11       1.999484427687e-12      -7.924739461243e-15 
   86       3.073308937206e-10       7.548231973218e-14      -1.908948840816e-12       3.220959708248e-16       1.478857990851e-11       1.952676742915e-12      -7.858086479300e-15 
   87       3.111285951938e-10       7.756650434786e-14      -1.990619328752e-12       3.296590367564e-16       1.436546224018e-11       1.907464550646e-12      -7.798329999241e-15 
   88       3.149535119950e-10       7.965617801492e-14      -2.073181728714e-12       3.373124566518e-16       1.395785377593e-11       1.863738711893e-12      -7.745545501987e-15 
   89       3.188094938479e-10       8.174957455483e-14      -2.156601003789e-12       3.450565734786e-16       1.356509636428e-11       1.821437749800e-12      -7.695022652245e-15 
   90       3.227007932125e-10       8.384489601604e-14      -2.240845222005e-12       3.528917506489e-16       1.318648677227e-11       1.780504792937e-12      -7.641222777761e-15 
   91       3.266232960565e-10       8.594024526779e-14      -2.325840542994e-12       3.608183709742e-16       1.282143493832e-11       1.740893939277e-12      -7.581605251215e-15 
   92       3.305722767916e-10       8.803369435059e-14      -2.411508704257e-12       3.688368380297e-16       1.246931174050e-11       1.702554152546e-12      -7.515012589315e-15 
   93       3.345512291566e-10       9.012339855251e-14      -2.497806958236e-12       3.769475745618e-16       1.212958673358e-11       1.665439366751e-12      -7.443105591095e-15 
   94       3.385641713699e-10       9.220749797868e-14      -2.584695603990e-12       3.851510242533e-16       1.180169536576e-11       1.629498347977e-12      -7.368505003461e-15 
   95       3.426077064349e-10       9.428404757230e-14      -2.672106928699e-12       3.934476495970e-16       1.148515986295e-11       1.594687770992e-12      -7.294317021669e-15 
   96       3.466775420375e-10       9.635107624381e-14      -2.759964818803e-12       4.018379340501e-16       1.117947270643e-11       1.560960512496e-12      -7.223375332949e-15 
   97       3.507750568654e-10       9.840667809791e-14      -2.848193810964e-12       4.103223793462e-16       1.088420276329e-11       1.528275885013e-12      -7.156313595664e-15 
   98       3.549024841494e-10       1.004489460509e-13      -2.936721652665e-12       4.189015080627e-16       1.059889284101e-11       1.496588409635e-12      -7.092794111174e-15 
   99       3.590592697444e-10       1.024759512423e-13      -3.025493179688e-12       4.275758603849e-16       1.032315304972e-11       1.465853199996e-12      -7.030883895281e-15 
  100       3.632439924491e-10       1.044857438104e-13      -3.114451884453e-12       4.363459970781e-16       1.005657071538e-11       1.436029937242e-12      -6.969029912251e-15 
  101       3.674551762671e-10       1.064763611693e-13      -3.203516834295e-12       4.452124956905e-16       9.798793155040e-12       1.407122545078e-12      -6.909439607180e-15 
  102       3.716915923995e-10       1.084458397266e-13      -3.292604201632e-12       4.541759539368e-16       9.549447467878e-12       1.379125020744e-12      -6.853816803498e-15 
  103       3.759536140265e-10       1.103922716514e-13      -3.381650016499e-12       4.632369853335e-16       9.308212576596e-12       1.351955956737e-12      -6.797208970524e-15 
  104       3.802417123959e-10       1.123137573693e-13      -3.470594195148e-12       4.723962230067e-16       9.074750160587e-12       1.325517120808e-12      -6.733704066611e-15 
  105       3.845551427489e-10       1.142083968632e-13      -3.559371502009e-12       4.816543147769e-16       8.848772030582e-12       1.299752982200e-12      -6.661724252779e-15 
  106       3.888928133264e-10       1.160742917032e-13      -3.647913305832e-12       4.910119273785e-16       8.629973860051e-12       1.274636129201e-12      -6.582819580349e-15 
  107       3.932538970677e-10       1.179095703824e-13      -3.736143627209e-12       5.004697409904e-16       8.418087001658e-12       1.250229112628e-12      -6.506884486480e-15 
  108       3.976376007564e-10       1.197123755689e-13      -3.823984475338e-12       5.100284538728e-16       8.212828582117e-12       1.226587178433e-12      -6.442732129480e-15 
  109       4.020432994787e-10       1.214808881883e-13      -3.911360050517e-12       5.196887763598e-16       8.013958817920e-12       1.203636083481e-12      -6.383827911042e-15 
  110       4.064703310110e-10       1.232133076664e-13      -3.998194862177e-12       5.294514358937e-16       7.821226986417e-12       1.181275207842e-12      -6.321086317261e-15 
  111       4.109179591250e-10       1.249078645365e-13      -4.084414130709e-12       5.393171704577e-16       7.634414410376e-12       1.159461156052e-12      -6.253061430525e-15 
  112       4.153853667057e-10       1.265628100247e-13      -4.169943157185e-12       5.492867340680e-16       7.453290472748e-12       1.138183785225e-12      -6.181292354519e-15 
  113       4.198717484592e-10       1.281764330828e-13      -4.254708170972e-12       5.593608897974e-16       7.277651220439e-12       1.117522253821e-12      -6.111376699916e-15 
  114       4.243762450833e-10       1.297470504537e-13      -4.338635569088e-12       5.695404154465e-16       7.107283069158e-12       1.097532242717e-12      -6.047428959815e-15 
  115       4.288980143966e-10       1.312730282107e-13      -4.421652364221e-12       5.798260956337e-16       6.942003345271e-12       1.078069486141e-12      -5.982100754863e-15 
  116       4.334361593116e-10       1.327527659598e-13      -4.503685418216e-12       5.902187286871e-16       6.781620734963e-12       1.058977469108e-12      -5.907794963956e-15 
  117       4.379897762190e-10       1.341847117529e-13      -4.584660890295e-12       6.007191198950e-16       6.625963096190e-12       1.040299541704e-12      -5.829704124974e-15 
  118       4.425579125011e-10       1.355673537793e-13      -4.664504533243e-12       6.113280858737e-16       6.474852505458e-12       1.022113057818e-12      -5.755051925191e-15 
  119       4.471396501436e-10       1.368992459841e-13      -4.743141720581e-12       6.220464420013e-16       6.328146510784e-12       1.004414357165e-12      -5.684532001219e-15 
  120       4.517340027100e-10       1.381789818688e-13      -4.820497570950e-12       6.328750167547e-16       6.185686869362e-12       9.871753321559e-13      -5.617082693146e-15 
  121       4.563399198100e-10       1.394051966331e-13      -4.896497346678e-12       6.438146503057e-16       6.047301047188e-12       9.703663081321e-13      -5.551575758636e-15 
  122       4.609564169660e-10       1.405766011628e-13      -4.971067535630e-12       6.548661742432e-16       5.912863953667e-12       9.539659590285e-13      -5.486884579948e-15 
  123       4.655824552315e-10       1.416919545289e-13      -5.044134951514e-12       6.660304298280e-16       5.782241706538e-12       9.379523179098e-13      -5.421820192532e-15 
  124       4.702169359476e-10       1.427500658122e-13      -5.115626804676e-12       6.773082677470e-16       5.655287420635e-12       9.223053150874e-13      -5.355400949173e-15 
  125       4.748588185405e-10       1.437498283666e-13      -5.185471872303e-12       6.887005272781e-16       5.531890202567e-12       9.070246354817e-13      -5.287768018393e-15 
  126       4.795070111124e-10       1.446901921444e-13      -5.253599522753e-12       7.002080549945e-16       5.411930331118e-12       8.921137184558e-13      -5.219371300290e-15 
  127       4.841603665409e-10       1.455701639732e-13      -5.319939402007e-12       7.118317042150e-16       5.295277297495e-12       8.775709028382e-13      -5.150626759192e-15 
  128       4.888177919551e-10       1.463888370170e-13      -5.384421480041e-12       7.235723128232e-16       5.181833159507e-12       8.633792313436e-13      -5.081731500856e-15 
  129       4.934781469640e-10       1.471453674336e-13      -5.446976075576e-12       7.354307231240e-16       5.071492833332e-12       8.495154012079e-13      -5.012828859623e-15 
  130       4.981402401721e-10       1.478389763119e-13      -5.507533856190e-12       7.474077813648e-16       4.964141546542e-12       8.359548533601e-13      -4.944006210138e-15 
  131       5.028029311485e-10       1.484689794817e-13      -5.566025775575e-12       7.595043146218e-16       4.859690601711e-12       8.226780185607e-13      -4.875108660998e-15 
  132       5.074650355604e-10       1.490347639150e-13      -5.622383195490e-12       7.717211514440e-16       4.758044514663e-12       8.096646049942e-13      -4.805905010700e-15 
